Orig,Name,TotalSeats,Country Name,Airport1Latitude,Airport1Longitude
NNG,Wuxu International,909046.068,China,22.60960007,108.1716995
MAH,Menorca,894729.836,Spain,39.8614006,4.215300083
CUR,Hato International,892701.992,Curacao,12.19419956,-68.96060181
CWL,Cardiff-Wales,891419.424,United Kingdom,51.39749908,-3.346699953
FNC,Madeira Airport,890522.493,Portugal,32.69419861,-16.77809906
RMQ,Cingcyuangang,888737.297,Taiwan,24.14999962,120.6800003
VVO,Vladivostok,884321.97,Russian Federation,43.21670151,131.6667023
OLB,Costa Smeralda,882623.434,Italy,40.89720154,9.522199631
HAK,Meilan International,881319.201,China,19.93860054,110.4621964
VVI,Viru Viru Intl,876955.87,Bolivia,-17.64109993,-63.13389969
ORN,Ahmed Ben Bella,876565.9,Algeria,35.62779999,-0.610599995
BRE,Bremen,856846.417,Germany,53.04669952,8.789999962
FDF,Martinique A. Cesaire,852769.064,Martinique,14.58969975,-61.0060997
ASU,Silvio Pettirossi Intl,852643.407,Paraguay,-25.23920059,-57.51919937
BZE,Belize International,852431.09,Belize,17.53610039,-88.30999756
TNA,Yaoqiang International,848626.716,China,36.75,116.9666977
CHQ,Ioannis Daskalogiannis Airport,846520.878,Greece,35.5316658,24.14972305
YOW,Macdonald-Cartier Intl,831611.025,Canada,45.32080078,-75.67279816
FEZ,Sais,828304.946,Morocco,33.92860031,-4.976699829
DYU,Dushanbe International,824877.543,Tajikistan,38.54359818,68.82360077
CAG,Elmas,819305.305,Italy,39.24720001,9.061100006
TRZ,Tiruchchirappalli,818781.012,India,10.7638998,78.70890045
MDL,Mandalay International,814928.975,Myanmar,21.93919945,96.09140015
SAN,San Diego International Airport,811523.237,United States,32.73360062,-117.1866989
HHN,Hahn,802839.905,Germany,49.95000076,7.266699791
TPA,Tampa International,802826.906,United States,27.97310066,-82.53530121
SEZ,Seychelles Intl,802519.263,Seychelles,-4.672200203,55.52249908
VRA,Juan G. Gomez Intl,799122.191,Cuba,23.12579918,-81.29720306
KBV,Krabi Airport,794715.53,Thailand,8.099100113,98.9835968
NGB,Lishe International,787639.741,China,29.83329964,121.5333023
BDA,L.F. Wade International,786803.472,Bermuda,32.36529923,-64.69000244
